VCD info: dumpfile ALU_out.vcd opened for output.
at T=   0:A = xxxx, B = xxxx,S1 = x,S0 = x, Add_Sub = xxxxx, is A>B:x, is A=B:x, is A<B:x, AND = xxxx
at T= 130:A = 0100, B = 0000,S1 = 0,S0 = 0, Add_Sub = 00100, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 132:A = 0100, B = 0001,S1 = 0,S0 = 0, Add_Sub = 00101, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 134:A = 0100, B = 0010,S1 = 0,S0 = 0, Add_Sub = 00110, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 136:A = 0100, B = 0011,S1 = 0,S0 = 0, Add_Sub = 00111, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 138:A = 0100, B = 0100,S1 = 0,S0 = 0, Add_Sub = 01000, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 140:A = 0100, B = 0101,S1 = 0,S0 = 0, Add_Sub = 01001, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 142:A = 0100, B = 0110,S1 = 0,S0 = 0, Add_Sub = 01010, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 144:A = 0100, B = 0111,S1 = 0,S0 = 0, Add_Sub = 01011, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 146:A = 0100, B = 1000,S1 = 0,S0 = 0, Add_Sub = 01100, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 148:A = 0100, B = 1001,S1 = 0,S0 = 0, Add_Sub = 01101, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 150:A = 0100, B = 1010,S1 = 0,S0 = 0, Add_Sub = 01110, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 152:A = 0100, B = 1011,S1 = 0,S0 = 0, Add_Sub = 01111, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 154:A = 0100, B = 1100,S1 = 0,S0 = 0, Add_Sub = 10000, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 156:A = 0100, B = 1101,S1 = 0,S0 = 0, Add_Sub = 10001, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 158:A = 0100, B = 1110,S1 = 0,S0 = 0, Add_Sub = 10010, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 160:A = 0100, B = 1111,S1 = 0,S0 = 0, Add_Sub = 10011, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 162:A = 0101, B = 0000,S1 = 0,S0 = 0, Add_Sub = 00101, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 164:A = 0101, B = 0001,S1 = 0,S0 = 0, Add_Sub = 00110, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 166:A = 0101, B = 0010,S1 = 0,S0 = 0, Add_Sub = 00111, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 168:A = 0101, B = 0011,S1 = 0,S0 = 0, Add_Sub = 01000, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 170:A = 0101, B = 0100,S1 = 0,S0 = 0, Add_Sub = 01001, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 172:A = 0101, B = 0101,S1 = 0,S0 = 0, Add_Sub = 01010, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 174:A = 0101, B = 0110,S1 = 0,S0 = 0, Add_Sub = 01011, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 176:A = 0101, B = 0111,S1 = 0,S0 = 0, Add_Sub = 01100, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 178:A = 0101, B = 1000,S1 = 0,S0 = 0, Add_Sub = 01101, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 180:A = 0101, B = 1001,S1 = 0,S0 = 0, Add_Sub = 01110, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 182:A = 0101, B = 1010,S1 = 0,S0 = 0, Add_Sub = 01111, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 184:A = 0101, B = 1011,S1 = 0,S0 = 0, Add_Sub = 10000, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 186:A = 0101, B = 1100,S1 = 0,S0 = 0, Add_Sub = 10001, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 188:A = 0101, B = 1101,S1 = 0,S0 = 0, Add_Sub = 10010, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 190:A = 0101, B = 1110,S1 = 0,S0 = 0, Add_Sub = 10011, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 192:A = 0101, B = 1111,S1 = 0,S0 = 0, Add_Sub = 10100, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 194:A = 0110, B = 0000,S1 = 0,S0 = 0, Add_Sub = 00110, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 196:A = 0110, B = 0001,S1 = 0,S0 = 0, Add_Sub = 00111, is A>B:0, is A=B:0, is A<B:0, AND = 0000
